Time,Current
23:18:36.817,9.30
23:18:36.878,15.53
23:18:36.939,9.30
23:18:37.010,9.30
23:18:37.070,15.60
23:18:37.142,9.30
23:18:37.202,9.30
23:18:37.273,15.38
23:18:37.334,9.30
23:18:37.405,16.28
23:18:37.466,15.83
23:18:37.527,9.08
23:18:37.598,9.23
23:18:37.658,15.60
23:18:37.730,9.30
23:18:37.790,9.23
23:18:37.861,15.38
23:18:37.922,9.30
23:18:37.993,9.30
23:18:38.054,15.23
23:18:38.125,9.30
23:18:38.185,9.30
23:18:38.256,15.23
23:18:38.317,9.38
23:18:38.378,9.30
23:18:38.449,20.40
23:18:38.510,9.00
23:18:38.581,9.08
23:18:38.641,15.23
23:18:38.713,9.23
23:18:38.773,9.23
23:18:38.844,15.38
23:18:38.905,9.30
23:18:38.976,9.30
23:18:39.036,15.53
23:18:39.097,9.38
23:18:39.168,9.30
23:18:39.228,13.50
23:18:39.300,11.33
23:18:39.361,9.30
23:18:39.432,10.20
23:18:39.493,21.98
23:18:39.564,9.00
23:18:39.625,9.08
23:18:39.695,15.53
23:18:39.757,9.23
23:18:39.817,9.23
23:18:39.888,15.53
23:18:39.949,9.38
23:18:40.020,9.30
23:18:40.081,15.60
23:18:40.152,9.38
23:18:40.212,9.30
23:18:40.283,15.30
23:18:40.344,9.38
23:18:40.415,9.30
23:18:40.476,15.60
23:18:40.536,16.88
23:18:40.608,9.00
23:18:40.669,15.00
23:18:40.740,9.30
23:18:40.800,9.30
23:18:40.871,15.53
23:18:40.933,9.53
23:18:41.003,9.38
23:18:41.064,15.68
23:18:41.125,9.53
23:18:41.195,9.38
23:18:41.256,15.60
23:18:41.328,9.53
23:18:41.388,9.38
23:18:41.459,15.53
23:18:41.520,9.53
23:18:41.591,30.53
23:18:41.652,22.88
23:18:41.713,4.50
23:18:41.784,4.58
23:18:41.845,11.33
23:18:41.916,10.28
23:18:41.977,4.73
23:18:42.048,4.73
23:18:42.109,10.80
23:18:42.180,4.73
23:18:42.240,4.73
23:18:42.311,10.57
23:18:42.372,4.73
23:18:42.433,4.73
23:18:42.504,10.57
23:18:42.565,4.73
23:18:42.636,4.58
23:18:42.696,10.57
23:18:42.767,4.58
23:18:42.828,4.58
23:18:42.898,10.88
23:18:42.960,4.58
23:18:43.031,4.58
23:18:43.091,10.88
23:18:43.152,4.73
23:18:43.223,4.58
23:18:43.284,10.73
23:18:43.355,4.73
23:18:43.416,4.58
23:18:43.486,10.28
23:18:43.547,5.10
23:18:43.618,4.58
23:18:43.679,6.53
23:18:43.749,9.00
23:18:43.810,4.73
23:18:43.881,4.73
23:18:43.941,10.73
23:18:44.003,4.58
23:18:44.073,4.58
23:18:44.134,10.80
23:18:44.205,4.58
23:18:44.266,4.58
23:18:44.337,10.88
23:18:44.398,4.58
23:18:44.468,4.58
23:18:44.529,10.80
23:18:44.600,4.58
23:18:44.661,4.58
23:18:44.721,10.57
23:18:44.793,4.58
23:18:44.853,4.73
23:18:44.924,10.57
23:18:44.985,4.58
23:18:45.056,4.58
23:18:45.117,10.88
23:18:45.188,4.58
23:18:45.249,4.58
23:18:45.319,10.88
23:18:45.380,4.73
23:18:45.441,4.58
23:18:45.512,10.73
23:18:45.573,4.58
23:18:45.644,4.58
23:18:45.704,10.88
23:18:45.775,4.58
23:18:45.836,4.58
23:18:45.907,10.80
23:18:45.968,4.58
23:18:46.039,4.58
23:18:46.099,10.80
23:18:46.160,4.73
23:18:46.231,4.58
23:18:46.291,10.88
23:18:46.363,4.58
23:18:46.424,9.98
23:18:46.494,14.93
23:18:46.555,9.30
23:18:46.626,9.23
23:18:46.687,15.08
23:18:46.758,9.30
23:18:46.818,9.23
23:18:46.889,15.00
23:18:46.951,9.53
23:18:47.011,9.23
23:18:47.082,11.48
23:18:47.143,13.13
23:18:47.214,9.23
23:18:47.275,9.38
23:18:47.346,15.38
23:18:47.407,9.23
23:18:47.477,17.33
23:18:47.538,15.23
23:18:47.600,9.08
23:18:47.670,9.08
23:18:47.731,15.38
23:18:47.802,9.23
23:18:47.863,9.23
23:18:47.934,15.38
23:18:47.995,9.23
23:18:48.066,9.23
23:18:48.126,15.38
23:18:48.197,9.23
23:18:48.258,9.23
23:18:48.319,15.38
23:18:48.390,9.30
23:18:48.451,10.13
23:18:48.522,21.83
23:18:48.583,9.00
23:18:48.654,9.08
23:18:48.714,15.00
23:18:48.785,9.23
23:18:48.846,9.23
23:18:48.917,15.08
23:18:48.978,9.23
23:18:49.038,9.23
23:18:49.109,15.08
23:18:49.171,9.30
23:18:49.241,9.23
23:18:49.302,15.38
23:18:49.373,9.30
23:18:49.434,9.23
23:18:49.504,18.98
23:18:49.566,13.73
23:18:49.637,9.00
23:18:49.697,15.23
23:18:49.758,9.08
23:18:49.829,9.23
23:18:49.890,15.30
23:18:49.961,9.23
23:18:50.022,9.23
23:18:50.093,15.30
23:18:50.154,9.30
23:18:50.224,9.30
23:18:50.285,15.30
23:18:50.356,9.30
23:18:50.417,9.23
23:18:50.477,12.68
23:18:50.549,18.00
23:18:50.610,10.50
23:18:50.681,9.38
23:18:50.742,14.70
23:18:50.813,9.08
23:18:50.873,9.08
23:18:50.944,15.23
23:18:51.005,9.30
23:18:51.066,9.23
23:18:51.137,15.23
23:18:51.198,9.30
23:18:51.269,9.23
23:18:51.329,15.90
23:18:51.400,9.23
23:18:51.461,9.23
23:18:51.532,16.28
23:18:51.593,24.30
23:18:51.664,33.08
23:18:51.726,4.50
23:18:51.786,4.50
23:18:51.857,11.03
23:18:51.918,10.28
23:18:51.989,4.58
23:18:52.050,4.58
23:18:52.121,10.88
23:18:52.182,4.58
23:18:52.253,4.58
23:18:52.313,10.88
23:18:52.374,4.58
23:18:52.445,4.58
23:18:52.506,11.03
23:18:52.577,4.58
23:18:52.637,4.58
23:18:52.708,10.73
23:18:52.770,4.58
23:18:52.840,4.58
23:18:52.901,10.50
23:18:52.972,4.58
23:18:53.033,4.58
23:18:53.093,10.50
23:18:53.165,4.58
23:18:53.225,4.58
23:18:53.296,10.50
23:18:53.357,4.58
23:18:53.428,4.58
23:18:53.488,10.80
23:18:53.560,4.58
23:18:53.620,4.58
23:18:53.691,10.88
23:18:53.752,4.58
23:18:53.813,4.58
23:18:53.883,8.78
23:18:53.944,6.53
23:18:54.015,4.58
23:18:54.076,5.63
23:18:54.146,9.83
23:18:54.207,4.58
23:18:54.277,4.58
23:18:54.338,10.73
23:18:54.409,4.58
23:18:54.470,4.58
23:18:54.541,10.80
23:18:54.602,4.58
23:18:54.663,4.58
23:18:54.733,10.80
23:18:54.794,4.58
23:18:54.865,4.58
23:18:54.926,10.80
23:18:54.997,4.58
23:18:55.058,4.58
23:18:55.128,10.50
23:18:55.190,4.58
23:18:55.260,4.58
23:18:55.321,10.50
23:18:55.382,4.58
23:18:55.453,4.58
23:18:55.513,10.57
23:18:55.585,4.58
23:18:55.645,4.58
23:18:55.716,10.80
23:18:55.777,4.58
23:18:55.848,4.58
23:18:55.908,10.80
23:18:55.980,4.58
23:18:56.040,4.58
23:18:56.111,10.73
23:18:56.172,4.58
23:18:56.233,4.58
23:18:56.303,10.73
23:18:56.365,4.58
23:18:56.436,8.33
23:18:56.496,15.23
23:18:56.567,9.23
23:18:56.628,9.23
23:18:56.699,15.30
23:18:56.760,9.23
23:18:56.831,9.23
23:18:56.891,15.53
23:18:56.952,9.23
23:18:57.023,9.30
23:18:57.084,15.53
23:18:57.155,9.23
23:18:57.215,9.23
23:18:57.286,14.10
23:18:57.347,10.20
23:18:57.419,9.23
23:18:57.479,17.93
23:18:57.541,13.50
23:18:57.612,9.00
23:18:57.672,9.08
23:18:57.743,15.00
23:18:57.804,9.23
23:18:57.875,9.23
23:18:57.936,15.38
23:18:58.007,9.23
23:18:58.067,9.08
23:18:58.138,15.30
23:18:58.199,9.23
23:18:58.260,9.23
23:18:58.330,15.23
23:18:58.392,9.23
23:18:58.463,9.23
23:18:58.523,22.13
23:18:58.594,8.93
23:18:58.655,9.08
23:18:58.726,15.30
23:18:58.787,9.08
23:18:58.858,9.08
23:18:58.918,15.30
23:18:58.979,9.23
23:18:59.050,9.23
23:18:59.111,15.30
23:18:59.185,9.23
